Community_id,Density,Fraud_Density,Score,N_Nodes,N_Edges,N_Nodes_bins,N_Edges_bins,count,weight_count,type,pct
26,0.005210373271615928,0.0042567472092694646,0.007055131540308995,411,439,Low,Low,135,1.0,part_of_manifest,0.7407407407407408
26,0.005210373271615928,0.0042567472092694646,0.007055131540308995,411,439,Low,Low,106,7.0,originated_at,6.60377358490566
27,0.019417475728155338,0.01708860759493671,0.02677626553707729,104,104,Low,Low,28,0.0,part_of,0.0
27,0.019417475728155338,0.01708860759493671,0.02677626553707729,104,104,Low,Low,26,2.0,originated_at,7.6923076923076925
28,0.009378856437679967,0.008025166923472007,0.012850231522929323,221,228,Low,Low,69,0.0,part_of,0.0
28,0.009378856437679967,0.008025166923472007,0.012850231522929323,221,228,Low,Low,55,8.0,originated_at,14.545454545454545
28,0.009378856437679967,0.008025166923472007,0.012850231522929323,221,228,Low,Low,1,0.0,owns,0.0
29,0.5,0.3333333333333333,0.6249387366082999,4,3,,,1,0.0,originated_at,0.0
29,0.5,0.3333333333333333,0.6249387366082999,4,3,,,1,0.0,part_of_mismatch,0.0
29,0.5,0.3333333333333333,0.6249387366082999,4,3,,,1,1.0,part_of_manifest,100.0
30,0.25,0.23809523809523808,0.3427540532368987,9,9,Low,Low,2,0.0,part_of,0.0
30,0.25,0.23809523809523808,0.3427540532368987,9,9,Low,Low,2,0.0,originated_at,0.0
30,0.25,0.23809523809523808,0.3427540532368987,9,9,Low,Low,1,0.0,owns,0.0
31,0.007804459691252144,0.006325667127476855,0.010543009544622313,265,273,Low,Low,89,0.0,part_of_mismatch,0.0
31,0.007804459691252144,0.006325667127476855,0.010543009544622313,265,273,Low,Low,89,1.0,part_of_manifest,1.1235955056179776
31,0.007804459691252144,0.006325667127476855,0.010543009544622313,265,273,Low,Low,62,9.0,originated_at,14.516129032258066
32,0.16666666666666666,0.10606060606060606,0.21044559124525386,12,11,Low,Low,3,0.0,originated_at,0.0
32,0.16666666666666666,0.10606060606060606,0.21044559124525386,12,11,Low,Low,3,1.0,part_of_mismatch,33.33333333333333
32,0.16666666666666666,0.10606060606060606,0.21044559124525386,12,11,Low,Low,3,3.0,part_of_manifest,100.0
32,0.16666666666666666,0.10606060606060606,0.21044559124525386,12,11,Low,Low,2,0.0,owns,0.0
33,0.5,0.16666666666666666,0.5669467896306132,4,3,,,1,0.0,originated_at,0.0
33,0.5,0.16666666666666666,0.5669467896306132,4,3,,,1,1.0,part_of_mismatch,100.0
33,0.5,0.16666666666666666,0.5669467896306132,4,3,,,1,1.0,part_of_manifest,100.0
34,0.0057770350919073765,0.005079131394920868,0.007977290853656335,355,363,Low,Low,112,3.0,part_of_mismatch,2.6785714285714284
34,0.0057770350919073765,0.005079131394920868,0.007977290853656335,355,363,Low,Low,112,10.0,part_of_manifest,8.928571428571429
34,0.0057770350919073765,0.005079131394920868,0.007977290853656335,355,363,Low,Low,93,37.0,originated_at,39.784946236559136
34,0.0057770350919073765,0.005079131394920868,0.007977290853656335,355,363,Low,Low,5,0.0,owns,0.0
35,0.004005238791423002,0.0046725843809829835,0.00602979013574587,513,526,Low,Low,187,0.0,part_of_mismatch,0.0
35,0.004005238791423002,0.0046725843809829835,0.00602979013574587,513,526,Low,Low,187,16.0,part_of_manifest,8.55614973262032
35,0.004005238791423002,0.0046725843809829835,0.00602979013574587,513,526,Low,Low,161,137.0,originated_at,85.09316770186336
35,0.004005238791423002,0.0046725843809829835,0.00602979013574587,513,526,Low,Low,1,0.0,owns,0.0
36,0.009603789836347977,0.00823865523885456,0.013167133836229191,216,223,Low,Low,67,1.0,part_of_mismatch,1.4925373134328357
36,0.009603789836347977,0.00823865523885456,0.013167133836229191,216,223,Low,Low,67,4.0,part_of_manifest,5.970149253731343
